Municipio_Nome_x;Saldo;chave_municipio;Municipio_Nome_y;Populacao_15_a_19;Vagas_por_1000_jovens
Belo Horizonte;1479;BELO HORIZONTE;Belo Horizonte;160573;9.210763951598338
Betim;991;BETIM;Betim;28696;34.53442988569835
Montes Claros;291;MONTES CLAROS;Montes Claros;27465;10.595303113052976
Itabira;279;ITABIRA;Itabira;7891;35.35673552148017
Ouro Preto;269;OURO PRETO;Ouro Preto;5132;52.41621200311769
Juiz de Fora;257;JUIZ DE FORA;Juiz de Fora;35028;7.3369875528148905
Nova Lima;239;NOVA LIMA;Nova Lima;8421;28.38142738392115
Leopoldina;221;LEOPOLDINA;Leopoldina;3411;64.79038405159777
Lagoa Formosa;217;LAGOA FORMOSA;Lagoa Formosa;1317;164.76841305998482
Sao Goncalo do Rio Abaixo;199;SAO GONCALO DO RIO ABAIXO;São Gonçalo do Rio Abaixo;766;259.7911227154047
